0;английский
1;английский
2;Французский
3;Немецкий
4;Япония
5;Бывший СССР
600;Иран
601;Казахстан
602;Индонезия
603;Саудовская Аравия
604;Вьетнам
605;Индюк
606;Румыния
607;Мексика
608;Северная Македония
609;Литва
610;Нераспределенный
611;Таиланд
612;Перу
613;Маврикий
614;Ливан
615;Венгрия
616;Таиланд
617;Украина
618;Греция
619;Болгария
620;Маврикий
621;Филиппины
622;Иран
623;Индонезия
624;Шри-Ланка
625;Индюк
626;Нераспределенный
627;Нераспределенный
628;Нераспределенный
629;Нераспределенный
630;Нераспределенный
631;Нераспределенный
632;Нераспределенный
633;Нераспределенный
634;Нераспределенный
635;Нераспределенный
636;Нераспределенный
637;Нераспределенный
638;Нераспределенный
639;Нераспределенный
640;Нераспределенный
641;Нераспределенный
642;Нераспределенный
643;Нераспределенный
644;Нераспределенный
645;Нераспределенный
646;Нераспределенный
647;Нераспределенный
648;Нераспределенный
649;Нераспределенный
65;Бразилия
7;Китай
80;бывший Чехословакия
81;Индия
82;Норвегия
83;Польша
84;Испания
85;Бразилия
86;Бывшая Югославия
87;Дания
88;Италия
89;Южная Корея
90;Нидерланды
91;Швеция
92;Издатели международных НПО и организации ЕС
93;Индия
94;Нидерланды
950;Аргентина
951;Финляндия
952;Финляндия
953;Хорватия
954;Болгария
955;Шри-Ланка
956;Чили
957;Тайвань
958;Колумбия
959;Куба
960;Греция
961;Словения
962;Гонконг
963;Венгрия
964;Иран
965;Израиль
966;Украина
967;Малайзия
968;Мексика
969;Пакистан
970;Мексика
971;Филиппины
972;Португалия
973;Румыния
974;Таиланд
975;Индюк
976;КАРИКОМ
977;Египет
978;Нигерия
979;Индонезия
980;Венесуэла
981;Сингапур
982;южной части Тихого океана
983;Малайзия
984;Бангладеш
985;Беларусь
986;Тайвань
987;Аргентина
988;Гонконг
989;Португалия
9900;Нераспределенный
9901;Нераспределенный
9902;Нераспределенный
9903;Нераспределенный
9904;Нераспределенный
9905;Нераспределенный
9906;Нераспределенный
9907;Нераспределенный
9908;Нераспределенный
9909;Нераспределенный
9910;Нераспределенный
9911;Нераспределенный
9912;Нераспределенный
9913;Нераспределенный
9914;Кения
9915;Уругвай
9916;Эстония
9917;Боливия
9918;Мальта
9919;Монголия
9920;Марокко
9921;Кувейт
9922;Ирак
9923;Иордания
9924;Камбоджа
9925;Кипр
9926;Босния и Герцеговина
9927;Катар
9928;Албания
9929;Гватемала
9930;Коста-Рика
9931;Алжир
9932;Лаос
9933;Сирия
9934;Латвия
9935;Исландия
9936;Афганистан
9937;Непал
9938;Тунис
9939;Армения
9940;Черногория
9941;Грузия
9942;Эквадор
9943;Узбекистан
9944;Индюк
9945;Доминиканская Республика
9946;Северная Корея
9947;Алжир
9948;Объединенные Арабские Эмираты
9949;Эстония
9950;Палестина
9951;Косово
9952;Азербайджан
9953;Ливан
9954;Марокко
9955;Литва
9956;Камерун
9957;Иордания
9958;Босния и Герцеговина
9959;Ливия
9960;Саудовская Аравия
9961;Алжир
9962;Панама
9963;Кипр
9964;Гана
9965;Казахстан
9966;Кения
9967;Кыргызстан
9968;Коста-Рика
9969;Нераспределенный
9970;Уганда
9971;Сингапур
9972;Перу
9973;Тунис
9974;Уругвай
9975;Молдова
9976;Танзания
9977;Коста-Рика
9978;Эквадор
9979;Исландия
9980;Папуа - Новая Гвинея
9981;Марокко
9982;Замбия
9983;Гамбия
9984;Латвия
9985;Эстония
9986;Литва
9987;Танзания
9988;Гана
9989;Северная Македония
99900;Нераспределенный
99901;Бахрейн
99902;Зарезервированное агентство (было  Габон)
99903;Маврикий
99904;Кюрасао (был  Нидерландские Антильские острова, и  Аруба)
99905;Боливия
99906;Кувейт
99907;Нераспределенный
99908;Малави
99909;Мальта
99910;Сьерра-Леоне
99911;Лесото
99912;Ботсвана
99913;Андорра
99914;Суринам
99915;Мальдивы
99916;Намибия
99917;Бруней
99918;Фарерские острова
99919;Бенин
99920;Андорра
99921;Катар
99922;Гватемала
99923;Эль Сальвадор
99924;Никарагуа
99925;Парагвай
99926;Гондурас
99927;Албания
99928;Грузия
99929;Монголия
99930;Армения
99931;Сейшельские острова
99932;Мальта
99933;  Непал
99934;Доминиканская Республика
99935;Гаити
99936;Бутан
99937;Макао
99938;Republika Srpska
99939;Гватемала
99940;Грузия
99941;Армения
99942;Судан
99943;Албания
99944;Эфиопия
99945;Намибия
99946;Непал
99947;Таджикистан
99948;Эритрея
99949;Маврикий
99950;Камбоджа
99951;Зарезервированное агентство (было  Демократическая Республика Конго)
99952;Мали
99953;Парагвай
99954;Боливия
99955;Republika Srpska
99956;Албания
99957;Мальта
99958;Бахрейн
99959;Люксембург
99960;Малави
99961;Эль Сальвадор
99962;Монголия
99963;Камбоджа
99964;Никарагуа
99965;Макао
99966;Кувейт
99967;Парагвай
99968;Ботсвана
99969;Оман
99970;Гаити
99971;Мьянма
99972;Фарерские острова
99973;Монголия
99974;Боливия
99975;Таджикистан
99976;Republika Srpska
99977;Руанда
99978;Монголия
99979;Гондурас
99980;Бутан
99981;Макао
99982;Бенин
99983;Эль Сальвадор
99984;Нераспределенный
99985;Таджикистан
99986;Нераспределенный
99987;Нераспределенный
99988;Нераспределенный
99989;Нераспределенный
99990;Нераспределенный
99991;Нераспределенный
99992;Нераспределенный
99993;Нераспределенный
99994;Нераспределенный
99995;Нераспределенный
99996;Нераспределенный
99997;Нераспределенный
99998;Нераспределенный
99999;Нераспределенный